"X","country","village","long","lat","n","y"
2199,"CAMEROUN","MPEMZOK",13.3,3.666667,50,2
2200,"CAMEROUN","AYENE",13.566667,4.4,50,1
2201,"CAMEROUN","KOUAMB/NK",13.2,3.833333,50,1
2202,"CAMEROUN","MADOUMA",13.258333,4.207222,50,1
2203,"CAMEROUN","NEMEYONG",13.4,3.516667,50,1
2204,"CAMEROUN","MAYANG I",13.633333,5.966667,50,0
2205,"CAMEROUN","MALENE",13.725,3.601944,50,1
2206,"CAMEROUN","DJOLEMPOU",13.433333,3.566667,42,0
2207,"CAMEROUN","MAMPANG",13.18,4,50,5
2208,"CAMEROUN","DJOUYAYA",13.333333,3.783333,50,2
2209,"CAMEROUN","NKOUAK/NK",13.333333,3.866667,50,3
2210,"CAMEROUN","BAGBETOUT",13.8,4.066667,50,3
2211,"CAMEROUN","KONAKE",13.483333,4.066667,50,1
2212,"CAMEROUN","ANGOSSAS",12.983333,4.066667,39,1
2213,"CAMEROUN","MPOUNDOU",13.05,4.083333,32,0
2214,"CAMEROUN","BAGOLOUL",13.133333,4.05,50,1
2215,"CAMEROUN","BINDANANG",13.083333,4.016667,50,3
2216,"CAMEROUN","OYEM-GABO",13.727222,3.546389,50,3
2217,"CAMEROUN","TONKLA",13.716944,3.552778,30,1
2218,"CAMEROUN","DILOM",13.766667,3.8,31,6
2219,"CAMEROUN","TIKONDI",14.133333,4.466667,39,21
2220,"CAMEROUN","KONGA",14.133333,4.35,21,0
2221,"CAMEROUN","NDEMBA II",13.466667,4.666667,33,1
2222,"CAMEROUN","MANSA",13.516667,5.1,26,3
2223,"CAMEROUN","KANO",13.55,4.983333,22,3
2224,"CAMEROUN","NDEMBA I",13.356944,4.808333,29,6
2225,"CAMEROUN","OUAMI",13.597222,5.258333,14,5
2226,"CAMEROUN","BELABO-VI",13.294444,4.9,21,8
2227,"CAMEROUN","BIOMBE",13.333333,5,32,17
2228,"CAMEROUN","MBANG",13.334444,4.502778,28,4
2229,"CAMEROUN","GOYOUM",13.380556,5.206944,36,18
2230,"CAMEROUN","BAZZAMA",13.933333,4.516667,29,0
2231,"CAMEROUN","MANDJOU",13.45,4.583333,33,0
2232,"CAMEROUN","NGAMBOULA",13.833333,4.533333,24,0
2233,"CAMEROUN","DAIGUENE",13.833333,4.783333,43,0
2234,"CAMEROUN","NDOUMBE",13.9,4.95,38,0
2235,"CAMEROUN","KOUNDI",13.608333,4.741667,38,0
2236,"CAMEROUN","MBETHEN I",13.527778,4.775,32,0
2237,"CAMEROUN","VIALI",13.55,4.916667,36,12
2238,"CAMEROUN","BORONGO",14.3,5.5,32,7
2239,"CAMEROUN","NDOKAYO",14.1925,5.523611,35,1
2240,"CAMEROUN","LONGA MAL",13.74,4.625556,31,3
2241,"CAMEROUN","BANGBEL",14.133056,5.671667,41,0
2242,"CAMEROUN","OUDOULAI",14.225833,5.485,20,0
2243,"CAMEROUN","NDANGA GA",14.05,5.416667,30,0
2244,"CAMEROUN","TONGO GAD",14,5.183333,33,1
2245,"CAMEROUN","PETIT NGA",14.268889,5.483333,31,1
2246,"CAMEROUN","OUADEN",14.416667,5.55,31,1
2247,"CAMEROUN","WOUMBOU",14.433333,5.383333,29,8
2248,"CAMEROUN","NDOUMBA B",14.483333,5.133333,36,21
2249,"CAMEROUN","GAROUA YA",14,5.133333,20,0
2250,"CAMEROUN","BAMBOUTI",14.033333,5.083333,47,0
2251,"CAMEROUN","MBOMBA",12.883333,4.05,29,0
2252,"CAMEROUN","DIMAKO I",13.65,4.233333,26,0
2253,"CAMEROUN","MENDJIME",13.05,4.316667,29,0
2254,"CAMEROUN","MBAMA",13.433333,4.25,30,1
2255,"CAMEROUN","BINDIBA",14.383333,6.066667,36,2
2256,"CAMEROUN","ABO-BOUTI",14.4166,5.75,30,2
2257,"CAMEROUN","YOKO SIRE",14.566667,5.816667,36,5
2258,"CAMEROUN","NAGONDA",14.566667,5.866667,44,3
2259,"CAMEROUN","BONGO",14.183333,5.533333,33,3
2260,"CAMEROUN","MOMBAL",14.366667,5.616667,30,2
2261,"CAMEROUN","NANDOUNGU",14.35,5.666667,32,1
2262,"CAMEROUN","MBASSI",14.366667,5.616667,35,4
2263,"CAMEROUN","MANG",14.033333,3.333333,30,1
2264,"CAMEROUN","NGOLA",13.983333,3.233333,30,3
2265,"CAMEROUN","KONGO",14.006667,3.365278,30,4
2266,"CAMEROUN","MELENE",13.8,3.15,26,1
2267,"CAMEROUN","ECHIAMBOR",13.84,3.365278,30,3
2268,"CAMEROUN","ZOULABOUT",13.883333,2.9,32,18
2269,"CAMEROUN","DOUMZO I",13.733333,3.133333,30,0
2270,"CAMEROUN","POHEMPOUM",13.527222,3.404444,32,4
2271,"CAMEROUN","BINGONGOL",14.0025,3.211389,30,3
2272,"CAMEROUN","NEMEYONG",13.5,2.916667,30,6
2273,"CAMEROUN","BAPILE",13.583333,3.333333,32,1
2274,"CAMEROUN","KASSARAFA",13.566667,3.4,30,3
2275,"CAMEROUN","NJOLEMPOU",13.10095,3.65186,29,7
2276,"CAMEROUN","MESSAMENA",13.3,3.866667,27,3
2277,"CAMEROUN","MEBA",12.816667,3.613333,34,1
2278,"CAMEROUN","MPANG",12.133333,4.383333,42,13
