"X","country","village","long","lat","n","y"
4714,"MALAWI","Makapwa",35.2833,-16.2067,50,12
4715,"MALAWI","Alufansi",34.9167,-16.4516,39,0
4716,"MALAWI","Alutandik",35.0854,-17.0667,45,0
4717,"MALAWI","Bangala",34.705,-14.8533,50,3
4718,"MALAWI","Biriwiri",34.5836,-14.7833,50,6
4719,"MALAWI","Bupingu",33.3356,-9.4425,50,0
4720,"MALAWI","Bwanje",34.7838,-14.6506,50,1
4721,"MALAWI","Chadza",33.5417,-13.9005,28,0
4722,"MALAWI","Chakanza",35.0678,-16.3354,50,0
4723,"MALAWI","Chakhala",33.3099,-13.3,50,0
4724,"MALAWI","Chakudza",34.6167,-14.9514,50,2
4725,"MALAWI","Chalentuw",34.9004,-16.5835,50,0
4726,"MALAWI","Chamanga",34.7167,-16.3835,50,5
4727,"MALAWI","Chankha",34.0187,-11.8327,50,0
4728,"MALAWI","Chapamba",33.7876,-12.841,50,0
4729,"MALAWI","Chaweza",35.5697,-15.5505,48,0
4730,"MALAWI","Chelinda",33.7878,-10.571,48,0
4731,"MALAWI","Chibweya",34.1789,-13.4683,48,0
4732,"MALAWI","Chidambo",33.9639,-13.3833,38,0
4733,"MALAWI","Chigambo",34.0833,-10.6336,50,0
4734,"MALAWI","Chigumula",35.0678,-15.8838,50,11
4735,"MALAWI","Chikana",33.4778,-10.9149,41,0
4736,"MALAWI","Chikhungw",33.8627,-13.4001,50,0
4737,"MALAWI","Chikuluzi",33.4417,-14.0125,13,1
4738,"MALAWI","Chikuse",34.3306,-14.1171,50,5
4739,"MALAWI","Chikweu",34.3843,-15.9321,47,5
4740,"MALAWI","Chikweze",33.5076,-12.7667,50,0
4741,"MALAWI","Chilangom",34.867,-15.6133,50,9
4742,"MALAWI","Chilawe",35.1033,-13.8,50,0
4743,"MALAWI","Chilaweni",35.0633,-15.7367,43,4
4744,"MALAWI","Chilima",33.6258,-13.5513,43,0
4745,"MALAWI","Chimalize",34.3004,-15.8814,50,6
4746,"MALAWI","Chimanga",34.0006,-13.6422,40,0
4747,"MALAWI","Chimenya",33.5402,-12.5687,50,0
4748,"MALAWI","Chimgonda",33.992,-12.2075,50,0
4749,"MALAWI","Chimkaka",33.6942,-12.9155,50,0
4750,"MALAWI","Chimongo",33.1843,-13.617,50,0
4751,"MALAWI","Chinkhvnt",33.6442,-10.4506,50,0
4752,"MALAWI","Chinongo",33.5711,-9.6333,37,0
4753,"MALAWI","Chinunda",32.9108,-13.6004,43,0
4754,"MALAWI","Chipbaso",33.0688,-13.0594,49,0
4755,"MALAWI","Chipode",35.1,-14.3833,50,2
4756,"MALAWI","Chiridza",35.0217,-15.9383,45,10
4757,"MALAWI","Chiripa",34.9667,-14.7167,40,0
4758,"MALAWI","Chirobwe",34.5169,-14.5507,43,5
4759,"MALAWI","Chisanga",33.6927,-10.5336,50,0
4760,"MALAWI","Chisenga",33.3493,-10.0506,50,0
4761,"MALAWI","Chisinkha",35.0172,-16.0305,43,13
4762,"MALAWI","Chiswamph",34.0658,-11.7262,37,0
4763,"MALAWI","Chitanga",33.5433,-10.9169,36,0
4764,"MALAWI","Chitseko",35.193,-16.4591,50,2
4765,"MALAWI","Chitundu",34.1283,-12.4689,50,0
4766,"MALAWI","Chivwenen",34.0888,-10.95,50,0
4767,"MALAWI","Chiwamba",35.2836,-14.7345,48,0
4768,"MALAWI","Chiwoshya",33.0325,-13.7173,37,0
4769,"MALAWI","Dambalika",33.6758,-13.2126,43,0
4770,"MALAWI","Dzinjiriz",34.617,-15.2067,50,8
4771,"MALAWI","Feremu",34.8167,-15.705,46,10
4772,"MALAWI","Fonka",33.2494,-9.6433,50,0
4773,"MALAWI","Fwifwi",33.7669,-12.7589,50,0
4774,"MALAWI","Gaga",33.1266,-12.9762,43,0
4775,"MALAWI","Gandal",33.1263,-13.5348,40,0
4776,"MALAWI","Goma",34.8667,-16.4011,47,0
4777,"MALAWI","Gulu",34.1599,-11.8024,50,0
4778,"MALAWI","Gumbi",34.8893,-14.9634,42,3
4779,"MALAWI","Gumulila",33.0348,-13.8667,48,0
4780,"MALAWI","Gwesele",33.4854,-13.2133,41,0
4781,"MALAWI","Jacob Nya",33.4336,-10.017,39,0
4782,"MALAWI","James Kem",33.0506,-9.6071,50,0
4783,"MALAWI","Jonasi",33.6261,-12.8969,37,0
4784,"MALAWI","Jowe",34.0253,-10.7836,50,0
4785,"MALAWI","Jowel",33.5652,-13.3849,40,0
4786,"MALAWI","Kachebere",32.805,-13.7015,16,0
4787,"MALAWI","Kachere",33.4412,-14.0338,25,0
4788,"MALAWI","Kachingwe",34.7845,-15.4037,50,12
4789,"MALAWI","Kachinoda",34.2667,-14.3637,39,0
4790,"MALAWI","Kafere",33.7333,-14.3863,50,0
4791,"MALAWI","Kafulama",33.4843,-13.801,50,0
4792,"MALAWI","Kahurwa",33.9667,-10.8877,47,0
4793,"MALAWI","Kaila",33.5071,-10.1354,42,0
4794,"MALAWI","Kajonthe",33.8319,-12.9333,45,0
4795,"MALAWI","Kakuyu",33.8424,-9.6587,49,0
4796,"MALAWI","Kalibwe",33.6043,-11.025,50,0
4797,"MALAWI","Kalikwemb",33.4506,-12.9056,46,0
4798,"MALAWI","Kalinde",35.7338,-15.65,50,1
4799,"MALAWI","Kalupsya",34.6667,-15.317,50,14
4800,"MALAWI","Kaluwe",35.5668,-14.55,39,0
4801,"MALAWI","Kamani",33.8668,-13.7169,46,0
4802,"MALAWI","Kambalang",33.8179,-14.2676,21,0
4803,"MALAWI","Kamehe",33.6788,-10.9167,50,0
4804,"MALAWI","Kamonga",34.069,-14.2173,45,0
4805,"MALAWI","Kamuzu",32.9012,-13.6842,34,0
4806,"MALAWI","Kamyona",34.2611,-13.45,41,0
4807,"MALAWI","Kangulu",34.0005,-14.1567,40,0
4808,"MALAWI","Kankhomba",34.2888,-14.1671,42,4
4809,"MALAWI","Kanyimbo",33.6276,-10.2427,50,0
4810,"MALAWI","Kapalamul",34.567,-14.7303,48,5
4811,"MALAWI","Kapelemer",33.6667,-10.2854,50,0
4812,"MALAWI","Kapemba",33.4836,-11.0006,45,0
4813,"MALAWI","Kaphwata",33.5506,-10.2076,43,0
4814,"MALAWI","Kapumgwa",33.7709,-10.7494,38,0
4815,"MALAWI","Karonga",34.2569,-11.7492,50,0
4816,"MALAWI","kasamba",34.8056,-15.3505,49,9
4817,"MALAWI","Kasangama",34.1378,-10.3839,50,0
4818,"MALAWI","Kaseche",33.5026,-9.8688,44,0
4819,"MALAWI","Kaseye",33.3688,-9.666,43,0
4820,"MALAWI","Kasinda",34.2063,-10.8033,46,0
4821,"MALAWI","Kasinje",34.67,-14.5697,23,1
4822,"MALAWI","Katimbira",34.2363,-12.7664,43,0
4823,"MALAWI","Kazaduliz",33.417,-13.3849,50,0
4824,"MALAWI","Kazimbe",34.3171,-13.7171,50,0
4825,"MALAWI","Kazua",32.9338,-13.5325,38,0
4826,"MALAWI","Kazumba",33.3008,-13.4673,48,0
4827,"MALAWI","Kependa",35.3833,-15.5339,50,1
4828,"MALAWI","Khanda",35.5169,-15.3667,39,0
4829,"MALAWI","Khombwe",34.9388,-15.7506,50,5
4830,"MALAWI","Khumbanyi",35.1067,-15.9075,47,10
4831,"MALAWI","Kochilira",33.034798,-13.7169,49,0
4832,"MALAWI","Kopakopa",33.7043,-10.1354,50,0
4833,"MALAWI","Kudambo",33.884,-14.339,38,0
4834,"MALAWI","Kunenekud",34.4696,-15.4537,44,7
4835,"MALAWI","Kuthombo",34.9,-15.2506,50,2
4836,"MALAWI","Kwilembe",35.4,-14.4033,34,0
4837,"MALAWI","Likangala",35.5345,-15.439,50,0
4838,"MALAWI","Linjisi",35.0567,-15.4667,50,0
4839,"MALAWI","Luangwa",35.4667,-15.8533,46,0
4840,"MALAWI","Lujemda",35.2867,-16.1034,49,15
4841,"MALAWI","Lulanga",34.9333,-13.6054,43,0
4842,"MALAWI","Lumbazi",33.8172,-13.7005,50,0
4843,"MALAWI","Lundi",35.2826,-16.8693,38,0
4844,"MALAWI","Lwezga",34.1758,-10.5595,43,0
4845,"MALAWI","Mabomba",34.1378,-10.9045,50,0
4846,"MALAWI","Madaliko",34.6176,-16.2337,42,0
4847,"MALAWI","Magombo",34.9012,-14.783899,41,0
4848,"MALAWI","Majalibor",33.5922,-10.4009,48,0
4849,"MALAWI","Makalan",34.1536,-13.0567,50,0
4850,"MALAWI","Makarumba",35.2161,-16.0394,50,18
4851,"MALAWI","Makokoka",35.2003,-15.5504,40,5
4852,"MALAWI","Makuwa",35.3033,-15.705,43,6
4853,"MALAWI","Malamulo",35.1194,-16.1353,50,13
4854,"MALAWI","Malani",35.2667,-14.2847,48,0
4855,"MALAWI","Malapa",34.3671,-13.7838,43,0
4856,"MALAWI","Malawi",34.9468,-15.367,43,0
4857,"MALAWI","Maleule(s)",35.067,-15.6273,50,2
4858,"MALAWI","Malingula",35.4045,-14.5067,48,0
4859,"MALAWI","Malunda",33.5643,-10.0826,49,0
4860,"MALAWI","Malunga",35.3168,-15.3067,50,0
4861,"MALAWI","Mamakango",35.1668,-14.4833,50,0
4862,"MALAWI","Mandalade",34.6815,-16.1345,50,0
4863,"MALAWI","Mankhalal",33.9266,-13.1428,50,0
4864,"MALAWI","Mapiko",34.3338,-13.667,45,0
4865,"MALAWI","Maruwasa",35.4506,-15.6673,43,0
4866,"MALAWI","Masambanj",35.1363,-16.2353,43,11
4867,"MALAWI","Masimbakw",35.3833,-14.6688,50,0
4868,"MALAWI","Masinje",34.3503,-14.0803,46,0
4869,"MALAWI","Masula",33.6912,-14.0792,13,0
4870,"MALAWI","Mathotho",34.9505,-16.0672,50,12
4871,"MALAWI","Matundubi",33.5667,-10.3254,43,0
4872,"MALAWI","Matupi",33.7664,-10.8667,50,0
4873,"MALAWI","Maulaka",34.4336,-13.9333,43,0
4874,"MALAWI","Mbenje",35.2168,-17.0094,50,0
4875,"MALAWI","Mbeu",35.1928,-16.9354,42,0
4876,"MALAWI","Mbulenge",35.5033,-14.2688,50,1
4877,"MALAWI","Mcheneka",34.2376,-14.4282,40,0
4878,"MALAWI","Mchokela",34.1033,-14.0388,50,0
4879,"MALAWI","Mdala",35.1668,-13.95,50,0
4880,"MALAWI","Mendulo",35.3545,-16.005,47,10
4881,"MALAWI","Mhango",34.1836,-10.6872,50,0
4882,"MALAWI","Mikoko",35.5319,-15.0333,50,0
4883,"MALAWI","Mimoza",35.6167,-16.0867,40,7
4884,"MALAWI","Misomali",35.0511,-15.1333,50,0
4885,"MALAWI","Misomali",34.5169,-16.0335,50,0
4886,"MALAWI","Mitombozi",35.4005,-16.105,48,10
4887,"MALAWI","Miyombo",33.8783,-9.8521,42,0
4888,"MALAWI","Mjele",34.1182,-13.6183,50,0
4889,"MALAWI","Mjoka",33.4507,-13.6175,32,0
4890,"MALAWI","Mkhate",34.9516,-16.1504,45,4
