"X","country","village","long","lat","n","y"
6870,"MOZAMBIQUE","MACATE",33.523692,-19.485424,55,0
6871,"MOZAMBIQUE","ELEFANTES",33.758201,-17.78167,16,0
6872,"MOZAMBIQUE","NAMADEDE",33.570609,-14.635206,17,0
6873,"MOZAMBIQUE","TOME",34.226164,-22.535423,19,0
6874,"MOZAMBIQUE","MEBUDA",36.653776,-16.83519,20,0
6875,"MOZAMBIQUE","MATEUS",39.775005,-13.850359,20,0
6876,"MOZAMBIQUE","PARANI",37.916142,-14.986142,20,0
6877,"MOZAMBIQUE","CONDOE",34.845101,-18.723035,20,0
6878,"MOZAMBIQUE","INHARRIME",35.017387,-24.475918,20,0
6879,"MOZAMBIQUE","NHAMPASSA",33.220518,-17.80702,20,0
6880,"MOZAMBIQUE","NYIMBI",31.366682,-14.951872,21,0
6881,"MOZAMBIQUE","MALILA",34.577752,-24.674218,21,0
6882,"MOZAMBIQUE","LUA",37.230555,-15.966778,22,0
6883,"MOZAMBIQUE","MUCUBELA",37.833358,-16.894931,22,0
6884,"MOZAMBIQUE","LALAUA",38.355666,-14.468576,22,0
6885,"MOZAMBIQUE","MECITO",34.335787,-16.643853,22,0
6886,"MOZAMBIQUE","CATANDICA",33.178368,-18.051872,22,0
6887,"MOZAMBIQUE","MALEMA",37.422715,-14.937193,23,0
6888,"MOZAMBIQUE","CAZULAO",33.62685,-15.393752,23,0
6889,"MOZAMBIQUE","GONDOCA",33.645854,-19.068742,23,0
6890,"MOZAMBIQUE","PUNGUE",33.26721,-18.96302,23,0
6891,"MOZAMBIQUE","MANJE",33.198722,-15.384585,24,0
6892,"MOZAMBIQUE","INHAMITAN",35.160002,-18.221635,24,0
6893,"MOZAMBIQUE","DUNDA",33.406686,-17.730333,24,0
6894,"MOZAMBIQUE","VANDUZI",33.267202,-18.96302,24,0
6895,"MOZAMBIQUE","MAGANJA",37.516874,-17.216876,25,0
6896,"MOZAMBIQUE","INCHIQUE",39.466721,-14.383692,25,0
6897,"MOZAMBIQUE","CANXIXI",34.307025,-17.58869,25,0
6898,"MOZAMBIQUE","PANDE",34.865153,-21.369085,25,0
6899,"MOZAMBIQUE","LUIDO",34.573761,-21.507645,25,0
6900,"MOZAMBIQUE","PANDA",34.728987,-24.066502,25,0
6901,"MOZAMBIQUE","CHIGANDA",33.665205,-17.19452,25,0
6902,"MOZAMBIQUE","MORROPINO",37.797095,-16.520693,26,0
6903,"MOZAMBIQUE","MBETA",31.759497,-14.800001,26,0
6904,"MOZAMBIQUE","PAMBARA",35.128318,-21.969351,26,0
6905,"MOZAMBIQUE","CHILOMO",35.168576,-16.554433,27,0
6906,"MOZAMBIQUE","IMALA",39.583109,-14.582754,27,0
6907,"MOZAMBIQUE","?LIO SILV",38.385244,-14.817025,27,0
6908,"MOZAMBIQUE","VILA VELH",34.308728,-14.58272,27,0
6909,"MOZAMBIQUE","MAPUJE",35.394202,-12.885209,27,0
6910,"MOZAMBIQUE","NAVIRIANO",36.242025,-16.83322,28,0
6911,"MOZAMBIQUE","MONGUE",35.489433,-16.450025,28,1
6912,"MOZAMBIQUE","LIUPO",39.95006,-15.601844,28,0
6913,"MOZAMBIQUE","MUATUA",39.708691,-15.735243,28,0
6914,"MOZAMBIQUE","ULONGUE",34.351872,-14.190449,28,0
6915,"MOZAMBIQUE","VANDUZI",34.21252,-18.642818,28,0
6916,"MOZAMBIQUE","MORRUMBEN",35.35594,-23.645409,28,1
6917,"MOZAMBIQUE","NHANTUTO",36.533438,-15.633376,29,0
6918,"MOZAMBIQUE","NACAROA",39.892721,-14.382209,29,0
6919,"MOZAMBIQUE","OLIVERA",31.899369,-15.161924,29,0
6920,"MOZAMBIQUE","DOMUE",34.120609,-14.535424,29,0
6921,"MOZAMBIQUE","MACOVANE",35.054418,-21.391835,29,0
6922,"MOZAMBIQUE","CABO CULU",34.644931,-23.128264,29,0
6923,"MOZAMBIQUE","NHACOUAZE",35.570258,-17.108816,30,0
6924,"MOZAMBIQUE","RESENDO",36.318576,-17.568763,30,0
6925,"MOZAMBIQUE","VULALO",36.618758,-16.149431,30,0
6926,"MOZAMBIQUE","NAMPUIO",38.950359,-15.308728,30,0
6927,"MOZAMBIQUE","MARRELA",38.803508,-15.875358,30,0
6928,"MOZAMBIQUE","JOS? ALVE",39.191703,-14.608349,30,0
6929,"MOZAMBIQUE","METI",37.775028,-14.468503,30,0
6930,"MOZAMBIQUE","BARATA",38.981318,-14.332857,30,0
6931,"MOZAMBIQUE","MUICO",39.390949,-13.372109,30,0
6932,"MOZAMBIQUE","NOCHAITE",38.343933,-12.868539,30,0
6933,"MOZAMBIQUE","ST. ANT?N",38.120258,-13.95,30,0
6934,"MOZAMBIQUE","CHOPA",38.725449,-13.700024,30,0
6935,"MOZAMBIQUE","MITEMAUGA",33.195833,-16.620258,30,0
6936,"MOZAMBIQUE","MICONDO",34.308689,-15.641669,30,0
6937,"MOZAMBIQUE","NCAPUNDA",35.431687,-12.506702,30,0
6938,"MOZAMBIQUE","MAFAMBICE",34.622451,-19.539705,30,0
6939,"MOZAMBIQUE","GURO",33.362185,-17.400243,30,0
6940,"MOZAMBIQUE","MOLUMBO",36.27517,-15.401875,31,1
6941,"MOZAMBIQUE","NEPUACHIM",37.275394,-15.533359,31,0
6942,"MOZAMBIQUE","CHINGA",38.683354,-15.185409,31,0
6943,"MOZAMBIQUE","MUAPALA",39.89167,-14.600385,31,0
6944,"MOZAMBIQUE","ITOCULO",40.335243,-14.706085,31,0
6945,"MOZAMBIQUE","NAMAHUMBI",39.275257,-13.035913,31,0
6946,"MOZAMBIQUE","SERRAGAO",39.875185,-12.118758,31,0
6947,"MOZAMBIQUE","CHANDAME",34.300016,-14.920258,31,0
6948,"MOZAMBIQUE","ANCUAZE",34.554468,-16.784435,31,0
6949,"MOZAMBIQUE","LUNAZI",33.451875,-15.185209,31,0
6950,"MOZAMBIQUE","MANIAMBA",34.970609,-12.775394,31,0
6951,"MOZAMBIQUE","MAZAMBA",34.775168,-18.492024,31,0
6952,"MOZAMBIQUE","MABOTE",34.135494,-22.034283,31,0
6953,"MOZAMBIQUE","CHIVALO",34.575451,-24.180718,31,0
6954,"MOZAMBIQUE","JANGAMO",35.317585,-24.110902,31,0
6955,"MOZAMBIQUE","MECOSSA",33.939354,-17.899869,32,0
6956,"MOZAMBIQUE","NHABESSE",33.625333,-17.123035,32,0
6957,"MOZAMBIQUE","LICUARE",36.708579,-17.585246,33,0
6958,"MOZAMBIQUE","LICIRO",36.075872,-16.450003,33,1
6959,"MOZAMBIQUE","MUETAU",37.035914,-16.872109,33,0
6960,"MOZAMBIQUE","PACALA",38.63522,-13.903692,33,0
6961,"MOZAMBIQUE","CHIFUNDE",32.836924,-14.792052,33,0
6962,"MOZAMBIQUE","CHIPONE",32.218539,-15.126164,33,0
6963,"MOZAMBIQUE","INCHOPE",33.927167,-19.210187,33,0
6964,"MOZAMBIQUE","MANA",39.541874,-16.902098,34,0
6965,"MOZAMBIQUE","MBATE",40.408691,-12.535174,34,1
6966,"MOZAMBIQUE","RAVIA",39.385185,-12.649943,34,2
6967,"MOZAMBIQUE","SITATE",39.842201,-12.491857,34,0
6968,"MOZAMBIQUE","NHACAPIRI",32.545994,-15.694976,34,0
6969,"MOZAMBIQUE","MUAPULA (",36.720996,-13.35206,34,0
6970,"MOZAMBIQUE","MARRUA",38.60011,-16.470661,35,0
6971,"MOZAMBIQUE","MUECATE",39.637276,-14.922766,35,0
6972,"MOZAMBIQUE","CARAPIRA",40.223761,-14.911597,35,0
6973,"MOZAMBIQUE","DADE",40.17487,-12.330902,35,2
6974,"MOZAMBIQUE","PATECULA",39.200024,-13.570257,35,0
6975,"MOZAMBIQUE","CHOODA",33.80192,-20.172418,35,0
6976,"MOZAMBIQUE","SARGENTO",36.603591,-17.335914,36,0
6977,"MOZAMBIQUE","MUGEBA",37.176049,-16.550041,36,0
6978,"MOZAMBIQUE","INTURO",37.630351,-16.292061,36,0
6979,"MOZAMBIQUE","CORRANE",39.616676,-15.439943,36,0
6980,"MOZAMBIQUE","MTAMBA",39.738209,-11.422708,36,0
6981,"MOZAMBIQUE","INHAMINGA",35.027169,-18.418885,36,0
