"X","country","village","long","lat","n","y"
1,"TANZANIA","Mgaya",33.6625,-9.642222,30,3
2,"TANZANIA","Kasumulu",33.775363,-9.575265,30,13
3,"TANZANIA","Njugilo",33.8167,-9.48333,30,12
4,"TANZANIA","Mpunguti",34.01958,-9.402053,30,8
5,"TANZANIA","Mababu",34.123888,-9.517777,30,21
6,"TANZANIA","Nsongola",33.789999,-9.415554,30,1
7,"TANZANIA","Lukasi",33.982222,-9.290276,30,11
8,"TANZANIA","Lupando",33.737498,-9.45861,30,20
9,"TANZANIA","Ludilu",34.42,-9.633055,30,2
10,"TANZANIA","Lusala",34.606388,-9.711111,30,3
11,"TANZANIA","Ikondo",35.308056,-9.310278,43,10
12,"TANZANIA","Kanikelel",35.431389,-9.245278,45,4
13,"TANZANIA","Lwanzali",35.505833,-9.493056,58,14
14,"TANZANIA","Mfiriga",35.366667,-9.670833,30,14
15,"TANZANIA","Lugolofu",35.421389,-8.831944,30,8
16,"TANZANIA","Magunguli",35.253056,-8.868611,30,20
17,"TANZANIA","Idete",35.443611,-8.982222,30,18
18,"TANZANIA","Ukami",35.8075,-8.616667,30,22
19,"TANZANIA","Ihimbo",35.799999,-7.9,46,22
20,"TANZANIA","Mandepwen",36.428611,-10.468056,46,10
21,"TANZANIA","Tegetero",37.716667,-6.933333,16,3
22,"TANZANIA","Bagilo",37.7441,-6.897216,30,10
23,"TANZANIA","Mifulu",37.752676,-6.94961,37,11
24,"TANZANIA","Singisa",37.666667,-7.266667,56,28
25,"TANZANIA","Madizini",38.120278,-6.461111,35,4
26,"TANZANIA","Lukenge",38.091111,-6.455556,57,2
5937,"TANZANIA","KIDOGOBAS",37.02464,-7.63765,33,1
5938,"TANZANIA","LUNMANGO",37.03865,-7.52315,43,6
5939,"TANZANIA","KISAKI GO",37.60235,-7.46468,39,2
5940,"TANZANIA","BOMBO MAJ",33.68942,-4.85095,39,1
5941,"TANZANIA","MAGOMA",38.57543,-4.90217,50,2
5942,"TANZANIA","KWETONGE",38.64231,-4.78632,28,0
5943,"TANZANIA","KERENGE",38.53523,-5.02677,20,0
5944,"TANZANIA","MAKABURIN",38.54515,-5.03333,14,0
5945,"TANZANIA","KIZARA",38.52038,-4.96858,30,6
